Region,Suburb,Value,Date,Measure,Date_period,Date_quarter,Date_dt,PropertyType
,Warrnambool,113.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Wodonga,77.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Group Total,1132.0,Mar 2000,Count,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
Inner Melbourne,Albert Park-Middle Park-West St Kilda,165.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Armadale,150.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Carlton North,150.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Carlton-Parkville,165.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,CBD-St Kilda Rd,250.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Collingwood-Abbotsford,135.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Docklands,,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,East Melbourne,180.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,East St Kilda,140.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Elwood,150.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Fitzroy,140.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Fitzroy North-Clifton Hill,130.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Flemington-Kensington,120.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,North Melbourne-West Melbourne,155.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
